Perioden,ID,Geslacht,Leeftijd,Onderwijssoort,Migratieachtergrond,RegioS,LeerlingenStudenten_1
00/01,63908328,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025294A025294A025294A025294A025294A025294A025294A025294A025294A025294A025297A025297A025297A025297A025297A025297A025297A025297A025297A025297A025294A025297,T00104020126552012657H008766H008673H008751H007119A00818720126592012605T001040201260520126552012657H008766H008673H008751H007119A008187101260010126002012659,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1079313
01/02,63908350,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025294A025294A025297A025297A025297A025294A025294A025297A025297A025294A025294A025294A025297A025297A025294A025297A025294A025297A025297A025294A025294,20126592012657H008751H00867320126552012605H0071192012655H0087511012600A008187H0086732012605A008187H007119H008766H0087661012600T0010402012657T0010402012659,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1123137
02/03,63908372,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025297A025294A025297A025294A025294A025297A025297A025297A025297A025297A025294A025294A025294A025294A025294A025297A025297A025294A025294A025297A025294,101260020126052012655A008187H0087662012659H00875120126552012657H008766H008673H0071191012600H008673H0087512012605T0010402012659T0010402012657H007119A008187,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1154260
03/04,63908394,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025294A025297A025297A025297A025297A025297A025297A025294A025294A025297A025294A025294A025297A025294A025297A025294A025294A025294A025294A025294A025297A025297,1012600H008673A00818720126552012605H0071192012659H008673H008766T0010402012605A00818710126002012657H008766H007119H008751T001040201265920126552012657H008751,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1216933
04/05,63908416,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025294A025297A025294A025297A025294A025297A025294A025294A025297A025297A025294A025294A025297A025294A025297A025297A025297A025294A025297A025294A025294,2012655H008673A008187H008766H0087662012655201265910126002012659T001040H0071192012605A00818710126002012657H00875120126572012605H008751H008673T001040H007119,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1273264
05/06,63908438,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025294A025294A025297A025294A025297A025294A025297A025297A025294A025297A025297A025294A025294A025297A025297A025294A025294A025297A025297A025294A025294A025297,H007119H0086732012655A0081872012605H008751T001040A00818720126591012600201265710126002012605H008751H00867320126572012655H008766H007119T001040H0087662012659,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1317062
06/07,63908460,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025294A025297A025297A025297A025294A025297A025294A025294A025294A025294A025294A025294A025297A025297A025297A025297A025294A025297A025294A025297A025294,20126552012655T001040H007119A0081872012657H008673H008751H007119101260020126052012659A0081872012657H00875110126002012605T0010402012659H008766H008766H008673,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1351234
07/08,63908482,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025294A025297A025297A025297A025294A025297A025294A025297A025297A025297A025294A025294A025297A025297A025294A025297A025294A025297A025294A025294A025294A025294,20126551012600H007119H008751A008187T001040H007119H008673A0081872012605H008751H008673H00876620126552012605201265720126572012659T001040H00876610126002012659,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1387644
08/09,63908504,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025294A025297A025297A025294A025297A025297A025294A025297A025294A025294A025297A025297A025294A025294A025294A025294A025297A025294A025297A025294A025297,1012600H008766H007119T0010402012659A00818720126572012605H008751A008187H0086732012655H008766101260020126552012657T001040H008673H0087512012605H0071192012659,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1435138
09/10,63908526,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025297A025294A025294A025297A025297A025297A025294A025294A025297A025297A025294A025294A025294A025297A025297A025294A025297A025297A025294A025294A025294,T001040H0071191012600A008187A00818720126572012659H008766H0086732012655H0087662012657H0087512012605H0086732012605H0071191012600H008751T00104020126552012659,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1512962
10/11,63908548,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025297A025297A025294A025297A025297A025297A025297A025297A025297A025294A025297A025294A025294A025294A025297A025294A025294A025294A025294A025294A025294,H00867320126572012605T0010401012600H007119H008766T0010402012655H0087512012659A008187H0086732012657A0081872012659H008766201265520126051012600H007119H008751,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1578569
11/12,63908570,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025294A025297A025294A025297A025294A025297A025294A025294A025297A025294A025297A025294A025297A025294A025297A025294A025297A025294A025297A025297A025294,2012605H0087511012600H0086732012655T0010402012657H0071192012657H0087662012655H0086732012605H0087511012600H007119H00876620126592012659A008187T001040A008187,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1609102
