"ID";"Onderwijssectoren";"Perioden";"TotaalUitgavenAanOnderwijs_1";"TotaalOverheid_2";"TotaalAanOnderwijsinstellingen_3";"LumpsumFinanciering_4";"Contractonderzoek_5";"Apparaatskosten_6";"TotaalSubsidieEnFiscaleRegelingen_7";"EducatiefDeelDagbestPeuterspeelz_8";"Leerlingenvervoer_9";"OnderwijsvoorzieningenJonggehandicapten_10";"TegemoetkomingSchoolkosten_11";"BegeleidingskostenLeerBedrijven_12";"StudiefinancieringGiften_13";"StudiefinancieringLeningen_14";"TotaalOntvangsten_15";"EUSubsidieregelingen_16";"TerugontvangenStudiefinancieringEn_17";"RenteOpStudieleningen_18";"AflossingenOpStudieleningen_19";"TotaalHuishoudens_20";"TotaalAanOnderwijsinstellingen_21";"LesEnCollegegeldBekostigdOnderwijs_22";"LesEnCollegegeldParticulOnderwijs_23";"OuderbijdragenEnSchoolactiviteiten_24";"TotaalOverigeUitgaven_25";"EducatiefDeelDagbestPeuterspeelz_26";"BoekenLeermiddelenOVEnBijles_27";"TeveelOntvangenStudiefinancieringEn_28";"RenteOpStudieleningen_29";"AflossingenOpStudieleningen_30";"TotaalOntvangenBijdragen_31";"KinderopvangtoeslagEducatiefDeel_32";"OnderwijsvoorzieningenJonggehandicapten_33";"TegemoetkomingSchoolkosten_34";"StudiebeurzenVanBedrijven_35";"StudiefinancieringVoorLesEnColl_36";"StudiefinancieringVoorLevensonderhoud_37";"StudiefinancieringLeningen_38";"TotaalBedrijven_39";"TotaalAanOnderwijsinstellingen_40";"BegeleidingDualeLeerlingenStagiairs_41";"LesEnCollegegeldParticulOnderwijs_42";"Contractonderzoek_43";"TotaalOverigeUitgaven_44";"KinderopvangtoeslagEducatiefDeel_45";"Studiebeurzen_46";"TotaalOntvangenSubsidies_47";"Leerlingenvervoer_48";"BegeleidingskostenLeerBedrijven_49";"TotaalBuitenland_50";"TotaalAanOnderwijsinstellingen_51";"InternationaleMiddelen_52";"Contractonderzoek_53";"EUSubsidieregelingen_54";"TotaalUitgavenAanOnderwijs_55";"InBbp_56";"PerHoofdVanDeBevolking_57";"TotaalOverheidsuitgavenAanOnderwijs_58";"InBbp_59";"InVanDeTotaleOverheidsuitgaven_60";"TotaalAanOnderwijsinstellingen_61";"TotaalInBbp_62";"Overheid_63";"HuishoudensBedrijvenBuitenland_64";"PerDeelnemerInclusiefRD_65";"PerDeelnemerExclusiefRD_66"
"208";"A048426";"1995JJ00";;;;;;;;;;;;"0";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;"0";;;;;;;;;;;;
"209";"A048426";"1996JJ00";;;;;;;;;;;;;;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;"0";;;;;;;;;;;;
"210";"A048426";"1997JJ00";"2185";"1514";"1217";"1182";"0";"35";"435";;;;;"1";"435";"242";"139";"0";"69";"70";"59";"464";"421";"308";"113";;"266";;"128";"69";"70";"59";"223";;;;"0";"223";"212";"242";"207";"207";"133";"74";"0";"0";;"0";"1";;"1";"0";"0";"0";"0";"0";"2185";"0.6";"140";"1894";"0.5";"1.1";"1845";"0.5";"0.3";"0.2";"6647";"6647"
"211";"A048426";"1998JJ00";"2296";"1571";"1320";"1282";"0";"38";"369";;;;;"1";"368";"388";"118";"0";"62";"55";"68";"499";"457";"334";"123";;"251";;"133";"62";"55";"68";"209";;;;"0";"209";"159";"388";"227";"227";"147";"81";"0";"0";;"0";"1";;"1";"0";"0";"0";"0";"0";"2296";"0.6";"147";"2077";"0.5";"1.2";"2004";"0.5";"0.3";"0.2";"7034";"7034"
"212";"A048426";"1999JJ00";"2437";"1663";"1394";"1350";"0";"44";"386";;;;;"2";"385";"409";"118";"0";"64";"54";"70";"528";"487";"358";"129";;"267";;"149";"64";"54";"70";"226";;;;"0";"226";"159";"409";"246";"247";"162";"85";"0";"0";;"0";"2";;"2";"0";"0";"0";"0";"0";"2437";"0.6";"155";"2190";"0.5";"1.2";"2128";"0.5";"0.3";"0.2";"7213";"7213"
"213";"A048426";"2000JJ00";"2498";"1712";"1454";"1405";"0";"49";"389";;;;;"2";"387";"515";"131";"0";"72";"59";"68";"518";"505";"371";"134";;"296";;"165";"72";"59";"68";"283";;;;"0";"283";"104";"515";"268";"270";"182";"88";"0";"0";;"0";"2";;"2";"0";"0";"0";"0";"0";"2498";"0.6";"157";"2358";"0.5";"1.2";"2229";"0.5";"0.3";"0.2";"7286";"7286"
"214";"A048426";"2001JJ00";"2879";"2013";"1626";"1572";"0";"54";"495";;;;;"3";"491";"350";"108";"0";"62";"46";"67";"563";"538";"389";"150";;"278";;"170";"62";"46";"67";"254";;;;"0";"254";"238";"350";"303";"306";"203";"98";"6";"0";;"0";"3";;"3";"0";"0";"0";"0";"0";"2879";"0.6";"180";"2471";"0.5";"1.2";"2471";"0.5";"0.3";"0.2";"7875";"7797"
"215";"A048426";"2002JJ00";"3080";"1958";"1666";"1604";"0";"63";"394";;;;;"6";"388";"380";"102";"0";"50";"52";"69";"757";"583";"405";"178";;"283";;"181";"50";"52";"69";"109";;;;"0";"109";"279";"380";"365";"371";"225";"141";"6";"0";;"0";"6";;"6";"0";"0";"0";"0";"0";"3080";"0.6";"191";"2440";"0.5";"1.1";"2620";"0.5";"0.3";"0.2";"8140";"8026"
"216";"A048426";"2003JJ00";"3226";"2175";"1737";"1687";"0";"51";"541";;;;;"6";"536";"436";"104";"0";"52";"52";"75";"672";"602";"431";"171";;"297";;"193";"52";"52";"75";"227";;;;"0";"227";"309";"436";"379";"385";"246";"134";"5";"0";;"0";"6";;"6";"0";"0";"0";"0";"0";"3226";"0.6";"199";"2715";"0.5";"1.2";"2724";"0.5";"0.3";"0.2";"8348";"8235"
"217";"A048426";"2004JJ00";"3498";"2298";"1843";"1791";"6";"46";"563";;;;;"6";"557";"496";"108";"0";"55";"53";"80";"775";"666";"455";"212";;"316";;"207";"55";"53";"80";"207";;;;"0";"207";"350";"496";"425";"431";"271";"131";"29";"0";;"0";"6";;"6";"0";"0";"0";"0";"0";"3498";"0.7";"215";"2902";"0.5";"1.3";"2941";"0.6";"0.3";"0.2";"8603";"8401"
