"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"LeerlingenStudenten_1"
"2741376";"T001038";"10000";"A025294";"T001040";"NL01  ";"2000SJ00";"312698"
"2741377";"T001038";"10000";"A025294";"T001040";"NL01  ";"2001SJ00";"321508"
"2741378";"T001038";"10000";"A025294";"T001040";"NL01  ";"2002SJ00";"322963"
"2741379";"T001038";"10000";"A025294";"T001040";"NL01  ";"2003SJ00";"335706"
"2741380";"T001038";"10000";"A025294";"T001040";"NL01  ";"2004SJ00";"346640"
"2741381";"T001038";"10000";"A025294";"T001040";"NL01  ";"2005SJ00";"356842"
"2741382";"T001038";"10000";"A025294";"T001040";"NL01  ";"2006SJ00";"366689"
"2741383";"T001038";"10000";"A025294";"T001040";"NL01  ";"2007SJ00";"374802"
"2741384";"T001038";"10000";"A025294";"T001040";"NL01  ";"2008SJ00";"383713"
"2741385";"T001038";"10000";"A025294";"T001040";"NL01  ";"2009SJ00";"403278"
"2741386";"T001038";"10000";"A025294";"T001040";"NL01  ";"2010SJ00";"416629"
"2741387";"T001038";"10000";"A025294";"T001040";"NL01  ";"2011SJ00";"423945"
"2741388";"T001038";"10000";"A025294";"T001040";"NL01  ";"2012SJ00";"421693"
"2741389";"T001038";"10000";"A025294";"T001040";"NL01  ";"2013SJ00";"440293"
"2741390";"T001038";"10000";"A025294";"T001040";"NL01  ";"2014SJ00";"446434"
"2741391";"T001038";"10000";"A025294";"T001040";"NL01  ";"2015SJ00";"442594"
"2741392";"T001038";"10000";"A025294";"T001040";"NL01  ";"2016SJ00";"446645"
"2741393";"T001038";"10000";"A025294";"T001040";"NL01  ";"2017SJ00";"452690"
"2741394";"T001038";"10000";"A025294";"T001040";"NL01  ";"2018SJ00";"455670"
"2741395";"T001038";"10000";"A025294";"T001040";"NL01  ";"2019SJ00";"463330"
"2741396";"T001038";"10000";"A025294";"T001040";"NL01  ";"2020SJ00";"489262"
"2741397";"T001038";"10000";"A025294";"T001040";"NL01  ";"2021SJ00";"491499"
"2756952";"T001038";"10000";"A025294";"1012600";"NL01  ";"2000SJ00";"242660"
"2756953";"T001038";"10000";"A025294";"1012600";"NL01  ";"2001SJ00";"246838"
"2756954";"T001038";"10000";"A025294";"1012600";"NL01  ";"2002SJ00";"248361"
"2756955";"T001038";"10000";"A025294";"1012600";"NL01  ";"2003SJ00";"258700"
"2756956";"T001038";"10000";"A025294";"1012600";"NL01  ";"2004SJ00";"265525"
